,"x, mm",I_a,U_r,U_r+L,U_L,P,r,L
0,5,1.05,45,125,106,24.5,22.22222222222222,0.31345938467088447
1,7,1.2000000000000002,52,124,101,23.5,16.31944444444444,0.2628265187223367
2,9,1.35,57,123,97,22.5,12.345679012345677,0.22531018017957538
3,11,1.4000000000000001,61,121,93,21.0,10.714285714285712,0.20868021270265458
4,13,1.4500000000000002,63,120,90,20.5,9.75029726516052,0.1951187203439558
5,15,1.55,66,119,87,20.0,8.324661810613943,0.1766883176419714
6,17,1.6,69,119,84,19.5,7.617187499999998,0.16534439838001128
7,19,1.6500000000000001,71,118,81,19.0,6.978879706152432,0.1546741267298453
8,21,1.6500000000000001,73,117,79,18.5,6.795224977043158,0.15086019077664234
9,23,1.7000000000000002,74,116,77,18.5,6.401384083044982,0.14272851225557293
10,25,1.75,75,116,75,18.5,6.040816326530612,0.1350565715206029
11,27,1.75,77,116,73,18.5,6.040816326530612,0.13138103841235105
12,29,1.8,78,115,72,18.0,5.555555555555555,0.1260899269576053
13,31,1.8,79,115,70,18.0,5.555555555555555,0.12251753231595378
14,33,1.85,80,115,69,18.0,5.259313367421475,0.11753473513862764
15,35,1.85,81,115,68,18.0,5.259313367421475,0.11579651629118129
16,37,1.85,82,115,67,17.5,5.113221329437545,0.11412504959788879
17,39,1.85,82,114,66,17.5,5.113221329437545,0.11238677832091479
18,41,1.9500000000000002,82,114,65,17.5,4.60223537146614,0.10508713169143334
