  Measurement Number     Measurement type
                   4                DC IV

      Measurement ID             SeriesID
       738631.660513                    0

         MeasureMode                Bias1                Bias2
                   2                   -4                    4

                Step  Positive compliance  Negative compliance
                 0.2                  0.1                  0.1

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   -1.3585e-09   -0.0000e+00
-2.0000e-01   -2.1202e-05   9.4331e+03
-4.0000e-01   -5.6596e-05   7.0676e+03
-6.0000e-01   -1.0752e-04   5.5801e+03
-8.0000e-01   -1.7638e-04   4.5357e+03
-1.0000e+00   -2.7152e-04   3.6830e+03
-1.2000e+00   -4.1956e-04   2.8601e+03
-1.4000e+00   -6.2142e-04   2.2529e+03
-1.6000e+00   -9.6738e-04   1.6540e+03
-1.8000e+00   -1.1042e-03   1.6301e+03
-2.0000e+00   -1.7704e-03   1.1297e+03
-2.2000e+00   -2.7300e-03   8.0586e+02
-2.4000e+00   -4.7048e-02   5.1012e+01
-2.6000e+00   -7.0494e-02   3.6883e+01
-2.8000e+00   -1.0000e-01   2.7999e+01
-3.0000e+00   -1.0000e-01   2.9999e+01
-3.2000e+00   -1.0000e-01   3.1999e+01
-3.4000e+00   -1.0000e-01   3.3999e+01
-3.6000e+00   -9.9996e-02   3.6001e+01
-3.8000e+00   -9.9994e-02   3.8002e+01
-4.0000e+00   -9.9994e-02   4.0002e+01
-4.0000e+00   -9.9998e-02   4.0001e+01
-3.8000e+00   -9.9994e-02   3.8002e+01
-3.6000e+00   -9.9994e-02   3.6002e+01
-3.4000e+00   -9.9996e-02   3.4001e+01
-3.2000e+00   -9.9988e-02   3.2004e+01
-3.0000e+00   -9.9994e-02   3.0002e+01
-2.8000e+00   -9.9996e-02   2.8001e+01
-2.6000e+00   -9.9994e-02   2.6002e+01
-2.4000e+00   -9.9996e-02   2.4001e+01
-2.2000e+00   -9.9994e-02   2.2001e+01
-2.0000e+00   -9.9996e-02   2.0001e+01
-1.8000e+00   -9.0582e-02   1.9871e+01
-1.6000e+00   -7.4966e-02   2.1343e+01
-1.4000e+00   -6.2346e-02   2.2455e+01
-1.2000e+00   -4.7820e-02   2.5094e+01
-1.0000e+00   -3.9394e-02   2.5385e+01
-8.0000e-01   -3.1076e-02   2.5743e+01
-6.0000e-01   -2.2880e-02   2.6224e+01
-4.0000e-01   -1.4954e-02   2.6749e+01
-2.0000e-01   -7.3764e-03   2.7113e+01
0.0000e+00   1.1674e-05   0.0000e+00
0.0000e+00   -1.1453e-06   -0.0000e+00
2.0000e-01   7.6580e-03   2.6116e+01
4.0000e-01   1.5844e-02   2.5246e+01
6.0000e-01   2.4468e-02   2.4522e+01
8.0000e-01   3.3394e-02   2.3956e+01
1.0000e+00   4.2628e-02   2.3459e+01
1.2000e+00   5.2026e-02   2.3065e+01
1.4000e+00   6.9760e-02   2.0069e+01
1.6000e+00   9.2752e-02   1.7250e+01
1.8000e+00   1.0001e-01   1.7998e+01
2.0000e+00   1.0001e-01   1.9998e+01
2.2000e+00   1.0002e-01   2.1996e+01
2.4000e+00   1.0001e-01   2.3997e+01
2.6000e+00   1.0001e-01   2.5997e+01
2.8000e+00   1.0001e-01   2.7997e+01
3.0000e+00   1.0001e-01   2.9996e+01
3.2000e+00   1.0001e-01   3.1996e+01
3.4000e+00   1.0002e-01   3.3995e+01
3.6000e+00   1.0001e-01   3.5996e+01
3.8000e+00   1.0001e-01   3.7997e+01
4.0000e+00   1.0001e-01   3.9994e+01
4.0000e+00   1.0001e-01   3.9994e+01
3.8000e+00   1.0001e-01   3.7995e+01
3.6000e+00   1.0001e-01   3.5996e+01
3.4000e+00   1.0001e-01   3.3997e+01
3.2000e+00   1.0001e-01   3.1996e+01
3.0000e+00   1.0001e-01   2.9996e+01
2.8000e+00   1.0001e-01   2.7996e+01
2.6000e+00   1.0001e-01   2.5997e+01
2.4000e+00   1.0002e-01   2.3996e+01
2.2000e+00   1.0001e-01   2.1997e+01
2.0000e+00   1.0001e-01   1.9998e+01
1.8000e+00   1.0001e-01   1.7998e+01
1.6000e+00   9.6492e-02   1.6582e+01
1.4000e+00   8.4888e-02   1.6492e+01
1.2000e+00   7.2878e-02   1.6466e+01
1.0000e+00   6.0592e-02   1.6504e+01
8.0000e-01   4.8162e-02   1.6611e+01
6.0000e-01   3.5740e-02   1.6788e+01
4.0000e-01   2.3486e-02   1.7031e+01
2.0000e-01   1.1548e-02   1.7319e+01
0.0000e+00   1.1501e-05   0.0000e+00
