  Measurement Number     Measurement type
                   3                DC IV

      Measurement ID             SeriesID
       738631.657728                    0

         MeasureMode                Bias1                Bias2
                   2                   -4                    4

                Step  Positive compliance  Negative compliance
                 0.2                  0.1                  0.1

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   4.5816e-07   0.0000e+00
-2.0000e-01   2.7792e-07   -7.1963e+05
-4.0000e-01   -3.1710e-06   1.2614e+05
-6.0000e-01   -1.3802e-04   4.3472e+03
-8.0000e-01   -4.7136e-04   1.6972e+03
-1.0000e+00   -8.6576e-04   1.1551e+03
-1.2000e+00   -1.2760e-03   9.4044e+02
-1.4000e+00   -1.6896e-03   8.2860e+02
-1.6000e+00   -2.1044e-03   7.6031e+02
-1.8000e+00   -2.5196e-03   7.1440e+02
-2.0000e+00   -2.9352e-03   6.8138e+02
-2.2000e+00   -3.3510e-03   6.5652e+02
-2.4000e+00   -3.7670e-03   6.3711e+02
-2.6000e+00   -4.1838e-03   6.2144e+02
-2.8000e+00   -4.5996e-03   6.0875e+02
-3.0000e+00   -5.0158e-03   5.9811e+02
-3.2000e+00   -5.4324e-03   5.8906e+02
-3.4000e+00   -5.8482e-03   5.8138e+02
-3.6000e+00   -6.2640e-03   5.7471e+02
-3.8000e+00   -6.6798e-03   5.6888e+02
-4.0000e+00   -7.0948e-03   5.6379e+02
-4.0000e+00   -7.0954e-03   5.6375e+02
-3.8000e+00   -6.6814e-03   5.6874e+02
-3.6000e+00   -6.2666e-03   5.7447e+02
-3.4000e+00   -5.8516e-03   5.8104e+02
-3.2000e+00   -5.4364e-03   5.8862e+02
-3.0000e+00   -5.0202e-03   5.9759e+02
-2.8000e+00   -4.6044e-03   6.0811e+02
-2.6000e+00   -4.1888e-03   6.2070e+02
-2.4000e+00   -3.7724e-03   6.3620e+02
-2.2000e+00   -3.3560e-03   6.5554e+02
-2.0000e+00   -2.9398e-03   6.8032e+02
-1.8000e+00   -2.5244e-03   7.1304e+02
-1.6000e+00   -2.1080e-03   7.5901e+02
-1.4000e+00   -1.6928e-03   8.2703e+02
-1.2000e+00   -1.2780e-03   9.3897e+02
-1.0000e+00   -8.6620e-04   1.1545e+03
-8.0000e-01   -4.6986e-04   1.7026e+03
-6.0000e-01   -1.3588e-04   4.4157e+03
-4.0000e-01   -3.0506e-06   1.3112e+05
-2.0000e-01   2.9230e-07   -6.8423e+05
0.0000e+00   4.8012e-07   0.0000e+00
0.0000e+00   4.6156e-07   0.0000e+00
2.0000e-01   5.6390e-07   3.5467e+05
4.0000e-01   6.3964e-07   6.2535e+05
6.0000e-01   6.9966e-07   8.5756e+05
8.0000e-01   7.4992e-07   1.0668e+06
1.0000e+00   7.9246e-07   1.2619e+06
1.2000e+00   8.2952e-07   1.4466e+06
1.4000e+00   8.6236e-07   1.6235e+06
1.6000e+00   8.9214e-07   1.7934e+06
1.8000e+00   9.1884e-07   1.9590e+06
2.0000e+00   9.4328e-07   2.1203e+06
2.2000e+00   9.6576e-07   2.2780e+06
2.4000e+00   9.8646e-07   2.4329e+06
2.6000e+00   1.0058e-06   2.5851e+06
2.8000e+00   1.0238e-06   2.7350e+06
3.0000e+00   1.0411e-06   2.8815e+06
3.2000e+00   1.0570e-06   3.0274e+06
3.4000e+00   1.0723e-06   3.1707e+06
3.6000e+00   1.0866e-06   3.3131e+06
3.8000e+00   1.1003e-06   3.4536e+06
4.0000e+00   1.1126e-06   3.5952e+06
4.0000e+00   1.1132e-06   3.5932e+06
3.8000e+00   1.1009e-06   3.4517e+06
3.6000e+00   1.0873e-06   3.3110e+06
3.4000e+00   1.0728e-06   3.1693e+06
3.2000e+00   1.0578e-06   3.0251e+06
3.0000e+00   1.0414e-06   2.8807e+06
2.8000e+00   1.0248e-06   2.7322e+06
2.6000e+00   1.0064e-06   2.5835e+06
2.4000e+00   9.8590e-07   2.4343e+06
2.2000e+00   9.6578e-07   2.2780e+06
2.0000e+00   9.4338e-07   2.1200e+06
1.8000e+00   9.1904e-07   1.9586e+06
1.6000e+00   8.9242e-07   1.7929e+06
1.4000e+00   8.6266e-07   1.6229e+06
1.2000e+00   8.2980e-07   1.4461e+06
1.0000e+00   7.9270e-07   1.2615e+06
8.0000e-01   7.5000e-07   1.0667e+06
6.0000e-01   7.0014e-07   8.5697e+05
4.0000e-01   6.4008e-07   6.2492e+05
2.0000e-01   5.6434e-07   3.5440e+05
0.0000e+00   4.6140e-07   0.0000e+00
