line,angle,length
Ne_1,2638,7032.41
Ne_2,2600,6929.47
Ne_3,2542,6717.04
Ne_4,2536,6678.28
Ne_5,2500,6598.96
Ne_6,2476,6532.88
Ne_7,2466,6506.53
Ne_8,2428,6402.24
Ne_9,2422,6382.99
Ne_10,2398,6334.42
Ne_11,2390,6304.79
Ne_12,2374,6266.49
Ne_13,2354,6217.26
Ne_14,2330,6163.59
Ne_15,2324,6143.06
Ne_16,2304,6096.14
Ne_17,2296,6074.34
Ne_18,2278,6030
Ne_19,2250,5975.53
Ne_20,2234,5944.83
Ne_21,2206,5881.89
Ne_22,2186,5852.49
Ne_23,1938,5400.56
Hg_1,2156,5791
Hg_2,2142,5770
Hg_3,1960,5461
Hg_4,1542,4916
Hg_5,874,4358
Hg_6,314,4047
