bg,am,co,cs,eu,na
0,0,0,0,0,0
0,0,0,0,2,0
0,0,0,0,0,1
0,0,0,0,4,0
0,0,0,0,5,0
0,0,0,0,2,0
0,0,2,1,3,0
0,0,0,0,5,0
0,0,1,0,3,0
0,0,0,0,2,0
0,0,0,0,4,0
0,0,1,0,2,0
0,0,0,0,5,0
0,1,0,0,0,0
0,1,0,0,1,0
0,0,1,0,3,0
0,0,0,0,2,0
0,0,0,0,2,0
0,0,1,0,6,0
0,0,0,0,4,0
0,1,0,1,6,0
0,0,0,1,4,0
0,0,1,0,9,0
0,0,0,0,2,0
0,0,0,0,6,0
0,0,1,0,6,1
0,0,0,0,2,0
0,0,0,1,9,0
0,0,1,1,4,0
0,0,0,0,5,1
0,0,0,0,5,0
0,0,0,0,6,0
0,0,0,0,6,0
0,0,1,0,4,0
0,0,0,0,9,0
0,1,0,0,9,0
0,0,0,0,1,0
0,0,1,0,7,0
0,0,1,1,14,0
0,1,0,1,8,0
0,1,0,1,11,0
0,1,0,0,8,0
0,1,0,0,8,1
0,1,1,1,13,0
0,4,1,4,10,0
0,0,1,1,9,0
0,3,0,4,20,1
0,5,4,1,18,0
0,9,2,1,14,1
1,16,2,1,14,1
1,12,7,4,33,1
2,23,6,5,31,3
3,28,7,7,35,0
0,35,6,11,36,1
2,33,7,10,37,2
2,58,16,15,42,4
2,72,13,30,43,7
2,85,6,18,66,9
3,96,11,30,68,6
6,110,17,27,82,8
5,136,24,40,97,13
8,147,23,43,111,8
7,155,30,54,127,8
8,155,33,61,134,11
7,180,33,67,137,17
8,179,24,64,173,20
10,186,30,74,209,16
8,196,36,74,219,22
10,216,37,109,210,18
13,215,39,99,290,18
13,221,31,116,336,29
12,236,46,153,384,18
17,243,50,118,445,28
8,225,46,130,513,38
17,216,47,157,562,20
12,225,49,173,623,18
13,194,63,168,713,27
19,217,57,177,862,25
20,191,54,175,960,13
25,206,67,176,1063,22
16,168,54,179,1236,37
17,178,56,159,1399,39
20,154,55,168,1658,26
23,130,59,159,1850,33
24,126,57,176,2028,31
25,105,67,160,2147,38
15,116,71,143,2421,22
19,97,71,144,2546,25
21,104,71,132,2768,39
21,97,67,127,2953,30
20,80,86,113,3027,34
20,97,63,108,3099,29
10,111,65,82,3201,45
25,107,82,85,3257,35
16,117,69,83,3188,35
26,128,94,87,3209,39
23,159,85,91,2998,38
26,150,75,81,3053,35
29,186,67,84,2811,41
23,203,86,77,2713,36
34,213,71,90,2505,52
33,226,82,81,2335,44
26,276,98,77,2163,40
31,301,83,76,1938,54
28,379,84,99,1751,42
28,428,94,85,1562,57
28,467,88,78,1474,52
37,590,95,91,1289,36
35,566,97,98,1065,44
36,681,89,110,1007,52
37,796,102,92,873,57
38,916,90,83,748,64
46,967,89,89,685,73
44,1121,113,92,542,56
39,1256,103,98,455,52
52,1442,101,91,425,55
51,1583,108,84,376,65
53,1779,110,91,345,66
55,1852,97,93,293,80
61,1987,107,107,302,73
68,1966,122,96,280,70
48,2188,110,110,233,64
68,2282,142,128,243,78
54,2385,136,113,261,72
61,2352,140,122,251,84
50,2246,130,130,241,69
69,2112,123,119,265,91
63,2072,143,139,246,87
72,2000,144,119,231,73
74,1705,146,146,239,71
69,1617,137,117,260,85
84,1465,140,114,284,79
75,1320,159,123,260,96
64,1176,138,117,289,98
90,958,145,132,229,100
80,812,141,135,302,103
71,736,137,165,306,114
79,543,145,167,301,114
84,508,168,134,324,117
90,397,171,128,314,86
81,333,140,142,357,113
80,260,167,152,356,99
73,230,174,175,365,107
80,190,180,159,366,100
74,142,175,148,389,115
86,140,162,153,375,112
98,132,172,159,392,119
103,105,149,151,405,125
98,109,178,155,448,107
103,113,173,151,463,124
113,119,186,164,482,131
97,106,190,185,506,123
93,99,189,175,495,120
92,100,158,141,568,113
96,113,159,164,610,119
96,97,183,171,522,109
108,109,191,167,589,123
88,111,189,178,570,114
107,109,194,174,621,144
106,117,212,176,652,127
114,96,199,174,598,117
99,89,194,184,638,118
111,109,204,168,610,119
95,122,185,167,584,108
91,118,196,161,604,120
102,98,184,180,598,142
100,89,170,160,606,131
98,135,191,151,581,124
106,118,190,167,545,118
93,129,209,142,599,128
90,119,194,154,551,132
81,115,197,166,587,110
95,115,216,178,537,118
109,112,203,162,554,113
97,113,171,192,586,125
94,116,221,170,568,111
84,122,163,167,559,111
99,95,194,177,546,124
102,95,154,175,553,123
89,94,192,162,581,132
104,118,192,169,595,112
110,110,184,175,622,117
92,115,184,171,632,131
103,112,173,162,692,114
109,110,202,177,751,127
85,96,202,176,802,139
84,96,200,165,858,118
104,112,213,175,927,122
99,107,186,161,928,108
95,98,186,151,1112,111
109,113,168,167,1189,127
92,102,179,145,1219,115
107,69,188,173,1323,120
109,101,165,165,1493,137
93,84,213,186,1461,112
96,106,189,181,1599,109
92,88,205,188,1667,119
75,97,190,149,1700,111
83,99,183,162,1788,105
103,109,203,172,1875,130
104,102,186,201,1906,127
86,102,168,165,1881,119
105,92,169,180,1862,135
82,112,182,165,1776,130
85,106,197,159,1720,113
86,86,180,176,1744,116
97,114,191,148,1742,111
89,92,180,181,1645,108
83,98,139,152,1566,105
98,87,170,153,1510,121
90,75,183,188,1377,110
104,78,187,181,1289,112
91,82,173,154,1211,101
107,88,146,171,1085,100
89,96,176,173,989,109
97,68,164,178,915,111
84,79,160,169,867,93
93,73,155,166,771,121
95,94,180,170,691,117
79,78,177,178,691,112
80,82,151,150,613,103
81,88,183,158,513,112
101,94,174,165,486,83
69,84,175,165,474,121
64,80,160,145,470,109
66,84,157,157,412,80
88,68,172,149,396,113
84,71,166,142,360,102
69,67,180,157,359,87
66,71,195,171,326,113
66,78,157,157,336,107
63,82,170,123,327,98
78,71,166,150,343,92
73,67,142,155,360,103
95,90,155,136,348,110
68,74,169,138,345,105
57,80,162,154,346,94
66,88,168,144,340,78
83,82,160,139,347,100
63,74,174,132,349,87
61,57,148,153,325,115
76,60,131,143,348,81
67,75,142,137,344,86
50,68,176,133,342,76
68,60,151,136,342,101
54,63,178,144,324,88
74,70,154,142,343,95
83,74,127,116,346,87
50,67,154,125,326,112
80,67,138,142,330,89
80,67,131,131,358,72
53,61,139,140,329,93
63,70,165,130,316,87
80,67,157,137,327,104
62,56,156,152,326,92
76,67,158,171,304,76
53,72,170,130,327,88
61,60,136,141,351,78
51,61,132,118,305,82
63,64,121,129,327,68
64,69,157,144,331,90
44,45,132,150,331,87
53,66,150,133,298,99
64,52,130,140,324,71
64,54,122,132,316,97
58,61,144,120,293,86
72,66,142,134,314,76
44,55,121,160,300,95
53,67,144,140,284,88
54,49,114,143,284,81
61,56,125,159,279,83
61,60,148,129,298,107
