t,v,I,n
800,1.394,0.481,0.670514
1905,8.83,1.088,9.60704
941,1.752,0.521,0.912792
992,2.135,0.563,1.202005
1101,2.464,0.596,1.468544
1174,2.807,0.629,1.765603
1246,3.172,0.664,2.106208
1295,3.515,0.694,2.43941
1350,3.855,0.724,2.79102
1380,4.2,0.753,3.1626
1440,4.552,0.782,3.559664
1499,4.901,0.81,3.96981
1539,5.254,0.838,4.402852
1596,5.624,0.866,4.870384
1635,5.952,0.91,5.41632
1695,6.301,0.916,5.771716
1732,6.654,0.941,6.261414
1763,7.014,0.967,6.782538
1792,7.346,0.989,7.265194
1809,7.723,1.015,7.838845
1832,8.061,1.037,8.359257
1883,8.444,1.061,8.959084
