,t,v,I,n
0,1073.0,1.39,0.48,0.67
1,1214.0,1.75,0.52,0.91
2,1265.0,2.13,0.56,1.2
3,1374.0,2.46,0.6,1.47
4,1447.0,2.81,0.63,1.77
5,1519.0,3.17,0.66,2.11
6,1568.0,3.52,0.69,2.44
7,1623.0,3.86,0.72,2.79
8,1653.0,4.2,0.75,3.16
9,1713.0,4.55,0.78,3.56
10,1772.0,4.9,0.81,3.97
11,1812.0,5.25,0.84,4.4
12,1869.0,5.62,0.87,4.87
13,1908.0,5.95,0.91,5.42
14,1968.0,6.3,0.92,5.77
15,2005.0,6.65,0.94,6.26
16,2036.0,7.01,0.97,6.78
17,2065.0,7.35,0.99,7.27
18,2082.0,7.72,1.01,7.84
19,2105.0,8.06,1.04,8.36
20,2156.0,8.44,1.06,8.96
21,2178.0,8.83,1.09,9.61
