,U,f,f_0,T,y,y_error
0,-0.66,809.9,867.4,279.4390243902439,6.801179017001962,0.08410696469361204
1,-0.59,810.1,867.3,281.1463414634146,6.839818804660232,0.08502329314588426
2,-0.5,810.3,867.3,283.3414634146341,6.8663890143814506,0.0856495532492785
3,-0.39,810.7,867.5,286.0243902439024,6.8949051087600655,0.08630433786026141
4,-0.29,812.6,867.6,288.4634146341463,7.145456276850159,0.09233433370733343
5,-0.18,820.4,867.4,291.1463414634146,8.48462129979098,0.12811723207428855
6,-0.08,837.1,867.8,293.5853658536585,13.388052218906129,0.3088286446255016
7,0.02,850.1,868.3,296.0243902439024,23.10704341631375,0.8982170600532088
8,0.12,858.5,868.3,298.4634146341463,43.55243921752188,3.1429320126632603
9,0.22,862.0,868.7,300.9024390243902,64.07932602544533,6.763283998661804
10,0.32,864.0,868.3,303.3414634146342,100.21573684132942,16.4802792101807
11,0.42,864.8,868.7,305.780487804878,110.62235731771123,20.0573353302413
12,0.53,865.8,868.5,308.4634146341463,160.08372253934954,41.92500880601414
13,0.63,866.3,869.2,310.9024390243902,149.11248671255868,36.35854457773883
14,0.72,885.9,887.2,313.0975609756098,340.4809525255423,185.1976719541671
15,0.8,888.6,891.2,315.0487804878049,170.6349805941902,46.40704368960351
16,0.84,891.5,893.8,316.0243902439024,193.55466990081092,59.50645398070968
17,0.86,892.9,895.0,316.5121951219512,212.34553173581725,71.5009045509666
