x,y
0.0903,1.3037
0.1392,1.355
0.21,1.4136
0.249,1.4526
0.2783,1.5039
0.3296,1.5527
0.3687,1.5942
0.3784,1.6431
0.4077,1.6919
0.4297,1.7432
0.4688,1.792
0.4688,1.8408
0.5078,1.9116
0.5273,1.9604
0.5469,2.0215
0.5786,2.0605
0.5884,2.1313
0.5981,2.1899
0.6177,2.2314
0.6372,2.2803
0.6763,2.3193
0.6982,2.3804
0.6982,2.4097
0.7178,2.4683
0.7373,2.5293
0.7666,2.5488
0.7568,2.5977
0.7764,2.6489
0.8057,2.688
0.8374,2.7368
0.8374,2.7783
0.8472,2.8076
0.8569,2.8369
0.8862,2.8784
0.8569,2.9077
0.8862,2.937
0.896,2.9565
0.9253,2.9663
0.9155,3.0078
0.9473,3.0273
0.9473,3.0371
0.9473,3.0371
0.9351,3.0469
0.9351,3.0371
0.9473,3.0273
0.9253,3.0078
1.0547,2.9077
0.9155,2.8467
0.9155,2.7881
0.9155,2.7271
0.9058,2.6685
0.896,2.6074
0.9058,2.5293
0.896,2.4683
0.8667,2.4097
0.8862,2.3486
0.8569,2.29
0.8569,2.2314
0.8374,2.1606
0.8765,2.0801
0.8374,2.0215
0.8179,1.9409
0.8179,1.8628
0.7959,1.792
0.8179,1.6919
0.7959,1.6138
0.7861,1.5137
0.7764,1.4429
0.7568,1.3232
0.7666,1.2256
0.7471,1.1353
0.7471,1.0352
0.7373,0.9351
0.7471,0.8569
0.7373,0.7568
0.708,0.6665
0.708,0.5786
0.7178,0.4883
0.6982,0.3979
0.6982,0.3101
0.6885,0.2295
0.6567,0.1392
0.6763,0.0513
0.647,-0.0195
0.647,-0.1294
0.6665,-0.2173
0.6274,-0.3174
0.6177,-0.3882
0.5981,-0.4761
0.5786,-0.5762
0.5591,-0.6567
0.5371,-0.7251
0.5078,-0.8154
0.4688,-0.896
0.4175,-0.9839
0.3589,-1.0547
0.3101,-1.1353
0.2295,-1.1841
0.1294,-1.2231
0.0513,-1.3037
-0.0098,-1.3232
-0.0586,-1.3721
-0.1099,-1.4136
-0.1587,-1.4722
-0.188,-1.5112
-0.2295,-1.5723
-0.2686,-1.6113
-0.3174,-1.6528
-0.3271,-1.7017
-0.3467,-1.7505
-0.3589,-1.8018
-0.3882,-1.8506
-0.4175,-1.9214
-0.437,-1.9604
-0.4468,-2.0288
-0.4883,-2.0703
-0.4883,-2.1484
-0.4883,-2.1802
-0.5273,-2.229
-0.5469,-2.2778
-0.5762,-2.3193
-0.5957,-2.3584
-0.6055,-2.3975
-0.6177,-2.4487
-0.647,-2.4878
-0.647,-2.5366
-0.6567,-2.5781
-0.6763,-2.6172
-0.6665,-2.666
-0.7056,-2.7075
-0.7251,-2.7466
-0.7349,-2.8076
-0.7349,-2.8369
-0.7666,-2.8662
-0.7568,-2.9053
-0.7861,-2.9248
-0.7959,-2.9468
